word,reading,romaji,jlpt_level,pos,meaning_vi,meaning_en,tags,frequency,source,source_id,license,attribution,example_jp,example_reading,example_vi,example_en,review_status,meaning_source
"踏む","ふむ","","N4","v5m|vt","TODO_VI","to step on | to tread on | to trample on | to set foot on (e.g. foreign soil) | to stand on | to visit | to experience | to undergo | to follow (rules, principles, etc.) | to go through (e.g. formalities) | to complete | to estimate | to guess | to judge | to value | to appraise | to rhyme | to succeed to (e.g. the throne)","","0","jmdict","1450270","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"引っ張る","ひっぱる","","N4","v5r|vt","TODO_VI","to pull | to draw | to pull tight | to string (lines) | to run (cable) | to stretch | to pull towards oneself (e.g. someone's sleeve) | to drag | to haul | to tow | to lead (e.g. one's followers) | to take someone somewhere (e.g. a suspect to the police) | to tempt into joining | to strongly invite to join | to delay | to prolong | to lengthen the pronunciation (of a word) | to quote | to cite | to reference | to pull the ball | to wear | to put on","","0","jmdict","1601900","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"招く","まねく","","N4","v5k|vt","TODO_VI","to invite | to ask | to beckon | to wave someone in | to gesture to | to call in | to send for | to summon | to bring on oneself | to cause | to incur | to lead to | to result in","","0","jmdict","1349590","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"代表","だいひょう","","N4","n|vs|vt","TODO_VI","representation | representative | delegate | delegation | exemplification | typification | being representative of | being typical of | representative example | exemplar | model | leader | switchboard number | main number","","0","jmdict","1412170","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"仲間","なかま","","N4","n","TODO_VI","companion | fellow | friend | mate | comrade | partner | colleague | coworker | associate | group | company | circle | set | gang | member of the same category (family, class)","","0","jmdict","1425790","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"逃げる","にげる","","N4","v1|vi","TODO_VI","to run away | to flee | to get away (e.g. from danger) | to escape | to break out | to leave (e.g. one's spouse) | to take cover | to avoid (a question, responsibility, etc.) | to evade | to dodge | to shirk | to back away | to win without being overtaken | to hold off the other contenders (until the finish) | to keep the lead (and win) | to escape (of heat, a gas, etc.) | to leak out (e.g. of a scent) | to be lost (e.g. of flavor) | to fail to hold an ideal posture","","0","jmdict","1450330","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"下ろす","おろす","","N4","v5s|vt","TODO_VI","to take down | to bring down | to lower (a hand, flag, shutter, etc.) | to drop (an anchor, curtain, etc.) | to let down (hair) | to launch (a boat) | to drop off (a passenger) | to let off | to unload (goods, a truck, etc.) | to offload | to discharge | to withdraw (money) | to use for the first time | to wear for the first time | to cut off | to fillet (fish) | to grate (e.g. radish) | to prune (branches) | to remove (someone from a position) | to oust | to drop | to clear (the table) | to remove (offerings from an altar) | to pass down (e.g. old clothes) | to hand down | to expel from the body (e.g. worms) | to abort (a fetus) | to invoke (a spirit) | to call down","","0","jmdict","1589580","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"トラブル","トラブル","","N4","n","TODO_VI","trouble | difficulty | problem | quarrel | conflict | dispute | fight | failure (of an engine, machine, computer, etc.) | breakdown | malfunction | (medical) condition | disorder | problem","","0","jmdict","1085920","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"光","ひかり","","N4","n","TODO_VI","light | illumination | ray | beam | gleam | glow | happiness | hope | influence | power | vision | eyesight | optical fiber | optical fibre","","0","jmdict","1272780","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"止める","とめる","","N4","v1|vt","TODO_VI","to stop | to turn off | to park | to prevent | to suppress (a cough) | to hold back (tears) | to hold (one's breath) | to relieve (pain) | to stop (someone from doing something) | to dissuade | to forbid | to prohibit | to notice | to be aware of | to concentrate on | to pay attention to | to remember | to bear in mind | to fix (in place) | to fasten | to tack | to pin | to nail | to button | to staple | to detain | to keep in custody","","0","jmdict","1310670","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"舞台","ぶたい","","N4","n","TODO_VI","stage (of a theatre, concert hall, etc.) | stage performance | stage production | theatrical production | play | show | setting (of a story) | scene | sphere (of activity) | stage (e.g. political stage) | scene | arena | world","","0","jmdict","1499150","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"変化","へんか","","N4","n|vs|vi","TODO_VI","change | variation | alteration | mutation | transition | transformation | variety | diversity | inflection | declension | conjugation | henka | evasive sidestep at the beginning of a bout","","0","jmdict","1510890","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"注ぐ","そそぐ","","N4","v5g|vt|vi","TODO_VI","to pour (into) | to sprinkle on (from above) | to water (e.g. plants) | to pour onto | to spray | to shed (tears) | to concentrate one's energy (strength, attention, etc.) on | to devote to | to fix (one's eyes) on | to flow into (e.g. of a river) | to run into | to drain into | to fall (of rain, snow) | to pour down","","0","jmdict","1581730","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
