word,reading,romaji,jlpt_level,pos,meaning_vi,meaning_en,tags,frequency,source,source_id,license,attribution,example_jp,example_reading,example_vi,example_en,review_status,meaning_source
"一念発起","いちねんほっき","","N2","n|vs|vi","quyết tâm dốc lòng | hạ quyết tâm làm","being resolved to (do something) | wholehearted intention","","0","jmdict","1165630","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"不言実行","ふげんじっこう","","N2","n","làm hơn nói | hành động trước lời nói | im lặng mà làm","action before words | work before talk","","0","jmdict","1492260","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"率先垂範","そっせんすいはん","","N2","n","làm gương đi đầu | nêu gương tiên phong","setting an example by taking the initiative","","0","jmdict","2033060","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"率先","そっせん","","N2","n|vs|vi","đi đầu | tiên phong | chủ động làm trước","taking the initiative","","0","jmdict","1596560","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"先手必勝","せんてひっしょう","","N2","exp","ra tay trước ắt thắng | đánh nhanh thắng nhanh | đi trước thắng","victory goes to the one who makes the first move","","0","jmdict","2031680","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"先制","せんせい","","N2","n|vs|vt|adj-no","ra đòn phủ đầu | chiếm tiên cơ | mở màn trước","head start | initiative | preemption","","0","jmdict","1387980","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"速攻","そっこう","","N2","n|vs|vt|adv","tấn công chớp nhoáng | đánh nhanh | ngay lập tức","swift attack | fast break | right away","","0","jmdict","1654850","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"強行","きょうこう","","N2","n|vs|vt","cưỡng ép tiến hành | làm bằng được | thực hiện cứng rắn","forcing | carrying out (forcibly) | pushing ahead","","0","jmdict","1236270","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"励行","れいこう","","N2","n|vs|vt","thực hiện nghiêm túc | chấp hành nghiêm | tuân thủ chặt","strict observance | diligent execution","","0","jmdict","1557410","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"続行","ぞっこう","","N2","n|vs|vt","tiếp tục | tiếp diễn | nối lại","continuation | going on | resuming","","0","jmdict","1405810","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"代行","だいこう","","N2","n|vs|vt|adj-no","làm thay | đại diện thực hiện | thừa hành thay","acting as agent | acting on (someone's) behalf","","0","jmdict","1411850","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"随行","ずいこう","","N2","n|vs|vi","tháp tùng | đi theo | tùy tùng","attendant | follower","","0","jmdict","1372740","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"同行","どうこう","","N2","n|vs|vi","đi cùng | đồng hành | cùng đi","accompanying (someone) | travelling together","","0","jmdict","1452340","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"逆行","ぎゃっこう","","N2","n|vs|vi","đi ngược | thụt lùi | đi ngược lại (xu thế)","backward movement | retrogression | going against","","0","jmdict","1227030","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"退行","たいこう","","N2","n|vs|vi","thoái lui | thoái hóa | thoái triển","retrogression | regression","","0","jmdict","1779170","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"慣行","かんこう","","N2","n|adj-no","thông lệ | tập quán | lệ thường | sự kiện truyền thống","customary practice | habit","","0","jmdict","1212680","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"励まし","はげまし","","N2","n|adj-no","sự động viên | lời cổ vũ | sự khích lệ","encouragement | cheering on","","0","jmdict","1901610","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"気合","きあい","","N2","n","khí thế | tinh thần | sự gồng mình | tiếng hô","(fighting) spirit | motivation | yell | kiai","","0","jmdict","1591030","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"活","かつ","","N2","n|suf","sự sống | sinh khí | thuật hồi sinh (judo) | hoạt động","living | life | art of resuscitation | activity","","0","jmdict","2078050","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"喝","かつ","","N2","int|n","tiếng quát răn (Thiền) | quát mắng đe nẹt","exclamation used to scold (in Zen) | scolding with a shout","","0","jmdict","2395840","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"発破","はっぱ","","N2","n","nổ mìn (xây dựng, khai mỏ) | việc phá nổ","explosive blast (in construction) | blasting","","0","jmdict","1477800","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"鼓舞激励","こぶげきれい","","N2","n","cổ vũ khích lệ | động viên hết mình","encouragement","","0","jmdict","1268030","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"叱咤激励","しったげきれい","","N2","n|vs","quát mắng khích lệ | vừa rầy vừa động viên","giving a loud pep talk | strongly encouraging","","0","jmdict","2031220","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"奮起","ふんき","","N2","n|vs|vi","phấn chấn | vùng dậy | dấy lên quyết tâm","stirring | rousing oneself","","0","jmdict","1504720","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"発奮","はっぷん","","N2","n|vs|vi","phấn khích | được kích thích | hăng hái lên","being roused | being inspired | being spurred on","","0","jmdict","1600840","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"奮闘","ふんとう","","N2","n|vs|vi","nỗ lực hết mình | vật lộn | chiến đấu kiên cường","strenuous effort | hard struggle | hard fighting","","0","jmdict","1504750","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"健闘","けんとう","","N2","n|vs|vi","chiến đấu dũng cảm | nỗ lực hết sức","fighting bravely | strenuous efforts","","0","jmdict","1256380","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"苦闘","くとう","","N2","n|vs|vi","vật lộn gian khổ | chiến đấu chật vật","hard fight | difficult struggle","","0","jmdict","1244580","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"力闘","りきとう","","N2","n|vs|vi","chiến đấu hết sức | gắng sức chiến","hard fight","","0","jmdict","1555160","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"善戦","ぜんせん","","N2","n|vs|vi","thi đấu kiên cường | chiến đấu ngoan cường","fighting a good fight | putting up a good fight","","0","jmdict","1394480","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"敢闘","かんとう","","N2","n|vs|vi","chiến đấu dũng cảm | quả cảm chiến","fighting bravely","","0","jmdict","1212900","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"闘志","とうし","","N2","n","ý chí chiến đấu | tinh thần chiến đấu","fighting spirit | will to fight","","0","jmdict","1653040","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"闘魂","とうこん","","N2","n","tinh thần chiến đấu | đấu hồn | máu chiến","fighting spirit","","0","jmdict","1653050","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"胆力","たんりょく","","N2","n","gan dạ | bản lĩnh | sự can đảm","courage | nerve | grit","","0","jmdict","1419060","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"精神力","せいしんりょく","","N2","n","sức mạnh tinh thần | nghị lực | ý chí","emotional strength | force of will","","0","jmdict","1751140","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"精神論","せいしんろん","","N2","n","duy ý chí | thuyết tinh thần | chủ nghĩa duy tâm","spiritualism | idealism","","0","jmdict","2748280","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"根性論","こんじょうろん","","N2","n","thuyết ý chí | quan niệm có chí thì nên | duy tinh thần","belief that where there's a will, there's a way","","0","jmdict","2779880","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"精進","しょうじん","","N2","n|vs|vi","tinh tấn | chuyên cần | dốc lòng tu | ăn chay","diligence | devotion | asceticism | vegetarian diet","","0","jmdict","1380040","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
