word,reading,romaji,jlpt_level,pos,meaning_vi,meaning_en,tags,frequency,source,source_id,license,attribution,example_jp,example_reading,example_vi,example_en,review_status,meaning_source
"悪逆無道","あくぎゃくむどう","","N1","adj-na|adj-no","đại nghịch vô đạo | tàn ác bất nhân | gian ác phản phúc | hung tàn","treacherous | heinous | atrocious","","0","jmdict","1151660","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"暗雲低迷","あんうんていめい","","N1","n","mây đen vần vũ | tình thế u ám | bóng đen bao trùm | điềm chẳng lành","gathering dark clouds | being under a shadow","","0","jmdict","2029840","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"安心立命","あんしんりつめい","","N1","n|vs|vi","an tâm lập mệnh | thanh thản giác ngộ | tâm an định nhờ đức tin","spiritual peace and enlightenment","","0","jmdict","1153900","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"威風堂々","いふうどうどう","","N1","adv-to|adj-t","oai phong lẫm liệt | uy nghi đường bệ | hùng dũng trang nghiêm","majestic | imposing | with pomp and circumstance","","0","jmdict","1781240","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"意気衝天","いきしょうてん","","N1","n","khí thế ngút trời | hăng hái tột độ | hừng hực khí thế","being in high spirits | sky-high morale","","0","jmdict","1759920","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"異体同心","いたいどうしん","","N1","n","đồng tâm hiệp lực | khác thân nhưng đồng lòng | tâm đầu ý hợp","being of one mind | acting in perfect harmony","","0","jmdict","1834520","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"一陽来復","いちようらいふく","","N1","n","bĩ cực thái lai | xuân về | vận may sau cơn bĩ cực | hết khổ tới sướng","return of spring | a long-awaited turn of fortune","","0","jmdict","1728230","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"一罰百戒","いちばつひゃっかい","","N1","n","phạt một răn trăm | trừng trị một để răn nhiều | giết gà dọa khỉ","punishing one to warn a hundred","","0","jmdict","2030010","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"一刻千金","いっこくせんきん","","N1","exp","một khắc ngàn vàng | thời gian quý báu | tấc bóng tấc vàng","every moment is precious | time is gold","","0","jmdict","1162520","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"一言居士","いちげんこじ","","N1","n","kẻ luôn xen lời | người gì cũng bình phẩm | tay phê bình lắm lời","a person ready to comment on everything","","0","jmdict","1162270","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"一言半句","いちげんはんく","","N1","n","nửa lời | một câu một chữ | dù chỉ một lời (一言半句も漏らさず)","a single word | not even a syllable","","0","jmdict","1576000","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"意気阻喪","いきそそう","","N1","n|vs|vi","nhụt chí | sa sút tinh thần | nản lòng | mất nhuệ khí","being disheartened | depressed in spirits","","0","jmdict","1156470","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"一視同仁","いっしどうじん","","N1","n","nhất thị đồng nhân | đối xử công bằng với mọi người | bác ái không phân biệt","loving all impartially | universal benevolence","","0","jmdict","1162880","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"一汁一菜","いちじゅういっさい","","N1","n","một canh một rau | bữa ăn đạm bạc | cơm rau thanh đạm | ăn uống kham khổ","a simple meal | an austerity diet","","0","jmdict","1163280","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
