word,reading,romaji,jlpt_level,pos,meaning_vi,meaning_en,tags,frequency,source,source_id,license,attribution,example_jp,example_reading,example_vi,example_en,review_status,meaning_source
"枯らす","からす","","N4","v5s|vt","làm khô | giết chết (thực vật) | hong khô (gỗ)","to let dry | to kill (vegetation) | to season (lumber)","","0","jmdict","1267210","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","草花を枯らします。","くさばなをからします。","Tôi làm khô hoa cỏ.","I let the flowers dry.","ai_draft","jmdict_ai"
"散る","ちる","","N4","v5r|vi","rụng (hoa, lá) | tan tán | phân tán | biến mất | ngã xuống vì danh dự","to fall (e.g. blossoms, leaves) | to scatter | to be dispersed | to disappear | to dissolve | to break up | to spread | to run | to blur | to die a noble death","","0","jmdict","1303490","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","花びらが散ります。","はなびらがちります。","Cánh hoa rụng.","The petals fall.","ai_draft","jmdict_ai"
"指定席","していせき","","N4","n","ghế đặt trước | ghế chỉ định","reserved seat","","0","jmdict","1309930","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","指定席を予約します。","していせきをよやくします。","Tôi đặt ghế chỉ định.","I reserve a reserved seat.","ai_draft","jmdict_ai"
"実る","みのる","","N4","v5r|vi","ra quả | chín | cho kết quả | đơm hoa kết trái","to bear fruit | to ripen | to produce (good) results | to show results | to bear fruit","","0","jmdict","1320850","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","努力が実ります。","どりょくがみのります。","Nỗ lực đơm hoa kết trái.","Effort bears fruit.","ai_draft","jmdict_ai"
"手本","てほん","","N4","n","mẫu | ví dụ tốt | khuôn mẫu | mẫu viết tay","model | (good) example | exemplar | paragon | model handwriting | model drawing | copybook","","0","jmdict","1328390","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","手本を見て書きます。","てほんをみてかきます。","Tôi viết theo mẫu.","I write while looking at the model.","ai_draft","jmdict_ai"
"申し訳","もうしわけ","","N4","n|vs","lời xin lỗi | lý do | biện hộ","apology | excuse","","0","jmdict","1363050","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","申し訳ありません。","もうしわけありません。","Tôi xin lỗi.","I am terribly sorry.","ai_draft","jmdict_ai"
"段階","だんかい","","N4","n","giai đoạn | bước | pha | cấp độ | thứ tự","stage | step | phase | level | rank | grade | gradation | order | stairs","","0","jmdict","1419950","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","次の段階に進みます。","つぎのだんかいにすすみます。","Tôi tiến lên giai đoạn tiếp theo.","I advance to the next stage.","ai_draft","jmdict_ai"
"地下室","ちかしつ","","N4","n","tầng hầm | phòng hầm","cellar | basement","","0","jmdict","1420890","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","地下室に荷物を置きます。","ちかしつににもつをおきます。","Tôi để hành lý ở tầng hầm.","I put the luggage in the basement.","ai_draft","jmdict_ai"
"逃げ出す","にげだす","","N4","v5s|vi","chạy trốn | bỏ chạy | tháo lui | bắt đầu chạy trốn","to run away | to flee | to make off | to take to one's heels | to escape | to start to run away","","0","jmdict","1450390","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","危険から逃げ出します。","きけんからにげだします。","Tôi chạy trốn khỏi nguy hiểm.","I flee from the danger.","ai_draft","jmdict_ai"
"品揃え","しなぞろえ","","N4","n","danh mục sản phẩm | hàng hóa đa dạng | chủng loại","assortment | product lineup","","0","jmdict","1490650","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","品揃えが豊富です。","しなぞろえがほうふです。","Hàng hóa đa dạng.","The assortment is rich.","ai_draft","jmdict_ai"
"洋室","ようしつ","","N4","n","phòng kiểu phương Tây","Western-style room","","0","jmdict","1545970","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","洋室に住んでいます。","ようしつにすんでいます。","Tôi sống trong phòng kiểu phương Tây.","I live in a Western-style room.","ai_draft","jmdict_ai"
"立方","たちかた","","N4","n","tư thế đứng | vũ công (múa Nhật Bản)","way of standing | dancer (in a Japanese dance performance)","","0","jmdict","1551810","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","正しい立方を練習します。","ただしいたちかたをれんしゅうします。","Tôi luyện tập tư thế đứng đúng.","I practice the correct stance.","ai_draft","jmdict_ai"
"和室","わしつ","","N4","n","phòng kiểu Nhật Bản","Japanese-style room","","0","jmdict","1562110","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","和室でくつろぎます。","わしつでくつろぎます。","Tôi thư giãn trong phòng kiểu Nhật.","I relax in the Japanese-style room.","ai_draft","jmdict_ai"
"言い訳","いいわけ","","N4","n|vs|vt|vi","lý do | biện hộ | biện minh | bào chữa","excuse | explanation","","0","jmdict","1587030","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","言い訳をしないでください。","いいわけをしないでください。","Đừng biện hộ.","Please don't make excuses.","ai_draft","jmdict_ai"
"売れ行き","うれゆき","","N4","n","tình hình bán hàng | nhu cầu thị trường","sales | demand","","0","jmdict","1588590","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","売れ行きが好調です。","うれゆきがこうちょうです。","Tình hình bán hàng tốt.","Sales are going well.","ai_draft","jmdict_ai"
"泣き出す","なきだす","","N4","v5s|vi","bật khóc | oà khóc | bắt đầu khóc","to burst into tears | to burst out crying | to begin to cry | to be moved to tears","","0","jmdict","1633080","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","突然泣き出します。","とつぜんなきだします。","Bỗng nhiên bật khóc.","I suddenly burst into tears.","ai_draft","jmdict_ai"
"話し相手","はなしあいて","","N4","n","người để nói chuyện | bạn trò chuyện | người cố vấn","person with whom to speak | someone to talk to | companion | advisor | adviser","","0","jmdict","1782940","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","話し相手がいません。","はなしあいてがいません。","Không có ai để nói chuyện.","I have no one to talk to.","ai_draft","jmdict_ai"
"芽","め","","N4","n","mầm | chồi | nụ | phôi","sprout | shoot | bud | germinal disk (in an egg)","","0","jmdict","1197710","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","芽が出ます。","めがでます。","Mầm nảy ra.","The sprout comes out.","ai_draft","jmdict_ai"
"屋根裏","やねうら","","N4","n","gác mái | tầng trên cùng | gác xép","attic | loft","","0","jmdict","1815850","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","屋根裏に荷物を入れます。","やねうらににもつをいれます。","Tôi để hành lý ở gác mái.","I put luggage in the attic.","ai_draft","jmdict_ai"
"笑い出す","わらいだす","","N4","v5s","bật cười | oà cười | phá lên cười","to burst into laughter","","0","jmdict","1847730","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","思わず笑い出します。","おもわずわらいだします。","Tôi bất ngờ phá lên cười.","I burst into laughter without thinking.","ai_draft","jmdict_ai"
"根","ね","","N4","n","rễ (cây) | chân (răng, tóc) | nguồn gốc | căn nguyên | bản chất thật","root (of a plant) | root (of a tooth, hair, etc.) | center (of a pimple, etc.) | root (of all evil, etc.) | source | origin | cause | basis | one's true nature | (fishing) reef","","0","jmdict","1290020","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","木の根が深いです。","きのねがふかいです。","Rễ cây ăn sâu.","The tree roots are deep.","ai_draft","jmdict_ai"
"思いやり","おもいやり","","N4","n","sự đồng cảm | lòng trắc ẩn | sự quan tâm | tâm lý thấu hiểu","consideration | thoughtfulness | sympathy | compassion | feeling | kindness | understanding | regard | kindheartedness","","0","jmdict","1309180","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","思いやりのある人です。","おもいやりのあるひとです。","Đó là người có lòng trắc ẩn.","They are a compassionate person.","ai_draft","jmdict_ai"
"枝","えだ","","N4","n","cành | nhánh cây | cành nhỏ","branch | bough | limb | twig | sprig | spray","","0","jmdict","1310530","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","枝を切ります。","えだをきります。","Tôi cắt cành.","I cut the branch.","ai_draft","jmdict_ai"
"手配","てはい","","N4","n|vs|vt","sắp xếp | chuẩn bị | lùng bắt (của cảnh sát)","arrangement | preparations | search (by police)","","0","jmdict","1328260","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","旅の手配をします。","たびのてはいをします。","Tôi sắp xếp chuyến đi.","I make travel arrangements.","ai_draft","jmdict_ai"
"組み立てる","くみたてる","","N4","v1|vt","lắp ráp | ghép lại | xây dựng | tổ hợp | soạn thảo","to assemble | to put together | to set up | to construct | to build | to compose (a story, poem, etc.) | to form (words, sentences, etc.)","","0","jmdict","1397580","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","机を組み立てます。","つくえをくみたてます。","Tôi lắp ráp cái bàn.","I assemble the desk.","ai_draft","jmdict_ai"
"倉庫","そうこ","","N4","n","nhà kho | kho hàng | kho chứa","storehouse | warehouse | godown","","0","jmdict","1399120","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","倉庫に荷物を入れます。","そうこににもつをいれます。","Tôi đưa hàng vào kho.","I put goods in the warehouse.","ai_draft","jmdict_ai"
"品質","ひんしつ","","N4","n","chất lượng | chất lượng sản phẩm","quality (of a product or a service)","","0","jmdict","1490580","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","品質を管理します。","ひんしつをかんりします。","Tôi quản lý chất lượng.","I manage the quality.","ai_draft","jmdict_ai"
"平方","へいほう","","N4","n","bình phương | vuông (đơn vị đo)","square (e.g. metre)","","0","jmdict","1507850","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","平方メートルを計算します。","へいほうメートルをけいさんします。","Tôi tính mét vuông.","I calculate square metres.","ai_draft","jmdict_ai"
