word,reading,romaji,jlpt_level,pos,meaning_vi,meaning_en,tags,frequency,source,source_id,license,attribution,example_jp,example_reading,example_vi,example_en,review_status,meaning_source
"良性","りょうせい","","N1","n|adj-no","lành tính | (khối u) lành","benign","","0","jmdict","1554610","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"悪性","あくせい","","N1","adj-no|n","ác tính | (ung thư) ác tính | hiểm nghèo | nguy hiểm","malignant | virulent | pernicious","","0","jmdict","1152070","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"血栓","けっせん","","N1","n","cục máu đông | huyết khối | nghẽn mạch","thrombus | blood clot","","0","jmdict","1669960","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"摂取","せっしゅ","","N1","n|vs|vt","hấp thụ | nạp vào | tiếp thu | tiếp nhận (văn hóa)","intake | ingestion | absorption | assimilation","","0","jmdict","1385710","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"形質","けいしつ","","N1","n","tính trạng | đặc tính di truyền | hình chất","(phenotypic) trait | hereditary character","","0","jmdict","1820980","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"変異","へんい","","N1","n|vs|vi","biến dị | đột biến | biến đổi | dị thường","variation | mutation | unusual occurrence","","0","jmdict","1510850","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"淘汰","とうた","","N1","n|vs|vt","đào thải | sàng lọc | loại bỏ | chọn lọc","weeding out | elimination | culling | selection","","0","jmdict","1448570","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"交配","こうはい","","N1","n|vs|vt","giao phối | lai tạo | thụ phấn chéo","mating | crossbreeding | cross-fertilization","","0","jmdict","1272490","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"受精","じゅせい","","N1","n|vs|vi","thụ tinh | thụ phấn | thụ thai","fertilization | impregnation | pollination","","0","jmdict","1635910","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"胚","はい","","N1","n","phôi | mầm (hạt) | phôi thai","embryo | germ","","0","jmdict","2060070","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"捕食","ほしょく","","N1","n|vs|vt","ăn thịt | săn mồi | bắt mồi","predation | preying upon","","0","jmdict","1514210","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"群生","ぐんせい","","N1","n|vs|vi","mọc thành đám | sống thành bầy | quần cư (sinh vật)","growing en masse | living gregariously","","0","jmdict","1247560","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"沸騰","ふっとう","","N1","n|vs|vi","sôi | sục sôi | dâng cao (tranh luận) | tăng vọt (giá)","boiling | seething | (debate) heating up | soaring","","0","jmdict","1501720","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"引力","いんりょく","","N1","n","lực hấp dẫn | sức hút | lực kéo | sức cuốn hút","attraction | gravitational pull | magnetism","","0","jmdict","1169720","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"粘性","ねんせい","","N1","adj-no|n","độ nhớt | tính dính | tính nhớt","viscous | sticky | viscosity","","0","jmdict","1469720","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"輻射","ふくしゃ","","N1","n|vs|vt","bức xạ | phát xạ","radiation","","0","jmdict","1573470","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"伝導","でんどう","","N1","n|vs|vt|vi","dẫn truyền (nhiệt/điện) | truyền dẫn | dẫn (xung thần kinh)","conduction (heat/electricity) | transmission","","0","jmdict","1442280","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"絶縁","ぜつえん","","N1","n|vs|vi|vt","đoạn tuyệt | cắt đứt quan hệ | cách điện | cách nhiệt","breaking off relations | insulation | isolation","","0","jmdict","1386760","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"磁場","じば","","N1","n","từ trường | trường từ | không khí (nơi tụ điểm)","magnetic field | atmosphere | focal point","","0","jmdict","1579590","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"電磁場","でんじば","","N1","n","trường điện từ | điện từ trường","electromagnetic field","","0","jmdict","1766070","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"原子核","げんしかく","","N1","n","hạt nhân nguyên tử | nhân nguyên tử","nucleus | atomic nucleus","","0","jmdict","1261600","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
