id,word,reading,jlpt_level,pos,vi,en,examples,reason
03e6709d-24a5-41d4-872d-0aeb5e06ad8d,有給,ゆうきゅう,N3,adj-no|n,có lương,salaried,null,no renderable ja example
03efa8b2-c15c-4507-8611-6fa69f524199,項目,こうもく,N3,n,hạng mục,item,null,no renderable ja example
03efe281-ce49-4470-a730-9299d4022e5e,火山,かざん,N3,n,núi lửa,volcano,null,no renderable ja example
03fe882f-3c98-44e1-9de7-2cddd0718b37,根本,こんぽん,N3,n,căn bản,root,null,no renderable ja example
045cc8d4-18e3-4dce-aab9-3d2d6e2c365e,請求,せいきゅう,N3,n|vs|vt,yêu cầu,claim,null,no renderable ja example
0475fdf4-d2f6-4d6e-94d6-817295b6da8e,妥当,だとう,N3,adj-na|n,hợp lý,valid,null,no renderable ja example
049a9d93-e14d-466b-891f-7b10a288c08e,賑わう,にぎわう,N3,v5u|vi,đông đúc,to be crowded with people,null,no renderable ja example
04a7de4a-4e68-4ea0-bd97-b6e49c5a466e,慈悲,じひ,N3,n|adj-no,từ bi,mercy,null,no renderable ja example
04b0a579-9ac1-4758-b45b-2220431d0490,探し出す,さがしだす,N3,v5s|vt,tìm ra,to track down,null,no renderable ja example
04d6a0da-0f7b-4182-a02b-069ad7bb3766,家電,かでん,N3,n,đồ điện gia dụng,household (electrical) appliances,null,no renderable ja example
04dc78d6-d874-49ec-af2e-f01ca22431c3,段ボール,ダンボール,N3,n,bìa carton,(corrugated) cardboard,null,no renderable ja example
04fa8dae-0dca-4f68-8ca7-a67424380b90,残虐,ざんぎゃく,N3,adj-na|n,tàn nhẫn,cruel,null,no renderable ja example
051f4549-9c52-4f30-a834-f63c8888e48f,卓球,たっきゅう,N3,n,bóng bàn,table tennis,null,no renderable ja example
0530bed3-30e0-4bd3-ae61-433aba06bcf5,塊,かたまり,N3,n,cục,lump,null,no renderable ja example
053216e8-accf-4f44-9b3e-854185b4a3d0,送信,そうしん,N3,n|vs|vt,gửi đi,transmission,null,no renderable ja example
053a53e1-5be7-4f6b-99ac-c20efd639317,誤解,ごかい,N3,n|vs|vt|vi,hiểu lầm,misunderstanding,null,no renderable ja example
0541fe86-6e1c-47e0-beb8-c3ed867a8ed8,多勢,たぜい,N3,n,đông người,great numbers,null,no renderable ja example
054aad7f-f8ec-4447-a3f1-0568cb018d95,惚れる,ほれる,N3,v1|vi,phải lòng,to fall in love (with),null,no renderable ja example
05a1ad81-f77b-4c8f-91ee-117bb1f60cf8,精巧,せいこう,N3,adj-na|n,tinh xảo,elaborate,null,no renderable ja example
05ce40b1-2a87-4089-b0f2-ddc041539d36,傲然,ごうぜん,N3,adj-t|adv-to,ngạo nghễ,proud,null,no renderable ja example
05d92bdb-7af4-4cd6-ba58-26466755ea5b,如何,いかん,N3,n|adv,tùy theo,(depending on) how,null,no renderable ja example
06c0f496-649a-4a49-8baa-5d296ca6cd8c,共鳴,きょうめい,N3,n|vs|vi,cộng hưởng,resonance,null,no renderable ja example
06d04963-ab3e-4d37-ad63-afe7f6c9c881,些細,ささい,N3,adj-na,nhỏ nhặt,trivial,null,no renderable ja example
06d4823b-47e4-4e62-aa90-5869cae0d14e,割高,わりだか,N3,adj-na|n,đắt tương đối,comparatively high,null,no renderable ja example
06dbb9c8-f0c9-4247-ae91-398453715cbc,簿記,ぼき,N3,n,kế toán sổ sách,bookkeeping,null,no renderable ja example
06e7b920-76e7-4c4e-8ca0-b08384834ef4,賞与,しょうよ,N3,n,tiền thưởng,bonus,null,no renderable ja example
06f8bdce-8a1f-40b0-a391-490e195e90d8,中南米,ちゅうなんべい,N3,n,Trung và Nam Mỹ,Central and South America,null,no renderable ja example
0710c18d-9551-40a9-83c0-16365cd90d62,縞,しま,N3,n,sọc,stripe,null,no renderable ja example
0728c93c-5078-49d5-98b6-cd9915f11719,地点,ちてん,N3,n,địa điểm,spot,null,no renderable ja example
0732349b-08bb-41d5-94e7-ee5bfdb82570,煩悩,ぼんのう,N3,n,phiền não,worldly desires,null,no renderable ja example
073a80a2-2f19-42d2-a79b-ff98157bfeb6,委託,いたく,N3,n|vs|vt,ủy thác,entrusting,null,no renderable ja example
0755ac00-05ba-4820-bd9b-48f05f2bde8c,重厚,じゅうこう,N3,adj-na|n,sâu sắc,profound,null,no renderable ja example
077e8491-a803-46a2-8b51-6f294ef24d25,欠航,けっこう,N3,n|vs|vi,hủy chuyến (bay hoặc tàu thủy),cancellation (of a flight or sea voyage),null,no renderable ja example
07852596-3be5-43fe-8f05-c7fd994914ca,資本,しほん,N3,n,tư bản,funds,null,no renderable ja example
078e6589-bbe1-4765-81fe-6e3be498f6ec,送金,そうきん,N3,n|vs|vt|vi,chuyển tiền,remittance,null,no renderable ja example
07c523a3-6ad1-4035-9719-88eb3020acc5,借入,しゃくにゅう,N3,n|vs,vay,loan,null,no renderable ja example
07cef5df-ddbb-4cf0-aeb1-bcdd29b77b42,代表的,だいひょうてき,N3,adj-na,tiêu biểu,representative,null,no renderable ja example
07d55a9b-0c32-4a96-8318-c52e3b257c38,透明度,とうめいど,N3,n,độ trong suốt,transparency,null,no renderable ja example
07efb1d4-9630-4746-ae98-55e4ba3166b6,発行,はっこう,N3,n|vs|vt,phát hành,publication,null,no renderable ja example
07f1c3ea-754b-4782-91d0-89d17bdfe6f6,交差,こうさ,N3,n|vs|vi,giao nhau,crossing,null,no renderable ja example
080239bd-1f41-4672-b0f1-50f39ed43bde,当番,とうばん,N3,n|adj-no,trực ban,being on duty,null,no renderable ja example
081985b5-3230-4641-9d86-df8523f8552d,督促,とくそく,N3,n|vs|vt,đốc thúc,urge,null,no renderable ja example
084871a5-0519-4120-b353-10649ce236f3,尊ぶ,とうとぶ,N3,v5b|vt,tôn trọng,to value,null,no renderable ja example
08520b28-ab0b-487a-96e5-33135da65d80,外向き,そとむき,N3,n,hướng ra ngoài,facing outward,null,no renderable ja example
08831e67-b4de-438b-9852-930da40f1aa3,文学,ぶんがく,N3,n,văn học,literature,null,no renderable ja example
0899b408-8c68-4df9-9907-1e7c7c983ec0,可憐,かれん,N3,adj-na,dịu dàng,"sweet (e.g. young girls, flowers blooming)",null,no renderable ja example
08a49e50-383e-44b1-8ba1-c54f429d8d75,呻く,うめく,N3,v5k|vi,rên rỉ,to moan,null,no renderable ja example
08a4bc33-13c3-49d3-b161-a6bc8b88f358,恵む,めぐむ,N3,v5m|vt,ban phước,to bless,null,no renderable ja example
08e98708-cec7-4794-9c43-4ee97e63202f,隔たる,へだたる,N3,v5r|vi,cách xa,to be distant,null,no renderable ja example
08ea87f7-b295-4331-96ad-4b553108dd84,遠隔,えんかく,N3,n|adj-no,từ xa,distant,null,no renderable ja example
08ee8173-88c8-4872-951c-6d82024ee303,控える,ひかえる,N3,v1|vt|vi,hạn chế,to refrain,null,no renderable ja example
091849e2-fec3-4e07-9406-b79f9f0da921,屈服,くっぷく,N3,n|vs|vi,đầu hàng,yielding,null,no renderable ja example
0925ac64-5e24-4f29-a613-9e56a06e5d67,分厚い,ぶあつい,N3,adj-i,dày,thick,null,no renderable ja example
0940adeb-d7fb-4ddf-8ca4-0a9d293a98de,悲観的,ひかんてき,N3,adj-na,bi quan,pessimistic,null,no renderable ja example
0971f053-b544-4b0d-93fc-87c999fa80e4,味わう,あじわう,N3,v5u|vt,nếm,to taste,null,no renderable ja example
09aebfb0-efab-4d5d-820a-935f425b00c3,密集,みっしゅう,N3,n|vs|vi,tụ tập dày đặc,crowding together,null,no renderable ja example
09c3f3e5-eabd-43ea-a1b1-04ff5f99b84d,剥がれる,はがれる,N3,v1|vi,bong ra,to come unstuck,null,no renderable ja example
09cd6ec9-6454-475e-87f0-5ffdb55aee86,息切れ,いきぎれ,N3,n|vs|vi,hụt hơi,shortness of breath,null,no renderable ja example
09e6b087-2c8f-430f-be8e-4fa02d216027,既に,すでに,N3,adv,đã (làm),already,null,no renderable ja example
0a07fc7a-674d-4358-90bf-a4bb52d5cfb7,第一印象,だいいちいんしょう,N3,n,ấn tượng đầu tiên,first impression,null,no renderable ja example
0a220279-739f-44eb-9283-1e0d76c160d1,左隣,ひだりどなり,N3,n|adj-no,bên trái,neighbour to the left,null,no renderable ja example
0a2c787e-2a21-431f-8f4e-fc698772c5d8,苦労,くろう,N3,n|vs|vt|vi,vất vả,trouble,null,no renderable ja example
0a69b51b-b94c-4d13-8552-fae1e5f0601e,理屈,りくつ,N3,n,lý lẽ,theory,null,no renderable ja example
0a6fce00-72e5-487b-a11a-1056ff07ca1a,透ける,すける,N3,v1|vi,trong suốt,to be transparent,null,no renderable ja example
0a9f372a-0bae-4517-be79-86207eb2195c,業界,ぎょうかい,N3,n,thế giới kinh doanh,business world,null,no renderable ja example
0aa94953-215e-4206-b313-2db24241fe63,中心的,ちゅうしんてき,N3,adj-na,trung tâm,central,null,no renderable ja example
0af04d17-3e34-4188-9aec-79b99b0f4dd0,一斉に,いっせいに,N3,adv,đồng loạt,simultaneously,null,no renderable ja example
0aff786c-aa4a-4913-b83b-93a82d42baf8,旗揚げ,はたあげ,N3,n|vs,khởi nghiệp,raising an army,null,no renderable ja example
0b081d4c-1139-4588-b0b3-0ff18ed0ac0a,保護,ほご,N3,n|vs|vt,bảo vệ,protection,null,no renderable ja example
0b19e6ff-a35d-4904-a9be-43c9e7466708,大筋,おおすじ,N3,n,ý chính,outline,null,no renderable ja example
0b341097-7a84-4e32-953c-325c5b579fa0,羅列,られつ,N3,n|vs|vt|vi,liệt kê,enumeration,null,no renderable ja example
