id,word,reading,pos,vi,en,reason
36650bf5-8a26-436f-950a-6cd3ba965789,夜中,よじゅう,n|adv,suốt đêm,all night,obscure/archaic secondary reading or sense mis-tagged as N5 — JMdict artifact; faithful standalone example not feasible
36de973e-eb8e-453b-9861-b0d4b2a60c86,自然,じねん,n|adv,xảy ra tự nhiên (không có tác động của con người),occurring naturally (without human influence),obscure/archaic secondary reading or sense mis-tagged as N5 — JMdict artifact; faithful standalone example not feasible
43962e38-b604-4e9e-83ac-4b98c085005e,石,せき,ctr,đếm đá quý trong đồng hồ,counter for jewels in a watch,"bound suffix/prefix/counter fragment, not a standalone headword — JMdict artifact"
543fe7aa-1501-4451-8ab7-5f20d67f22e8,病気,やまいけ,n,cảm thấy không khỏe,feeling ill,obscure/archaic secondary reading or sense mis-tagged as N5 — JMdict artifact; faithful standalone example not feasible
5d15d908-9ae0-4ba7-a570-f3479f3064d2,安心,あんじん,n,đạt được sự bình yên trong tâm hồn qua đức tin hoặc tu tập khổ hạnh,obtaining peace of mind through faith or ascetic practice,obscure/archaic secondary reading or sense mis-tagged as N5 — JMdict artifact; faithful standalone example not feasible
72b7908d-1e1a-43ba-b17a-794943ffaf0e,薬,やく,n,chất gây mê,dope,obscure/archaic secondary reading or sense mis-tagged as N5 — JMdict artifact; faithful standalone example not feasible
79544b5c-fe64-43b9-b8c2-21d9ee61e0a6,石,こく,n,"koku (đơn vị đo lường truyền thống, khoảng 180,4 lít)",koku,obscure/archaic secondary reading or sense mis-tagged as N5 — JMdict artifact; faithful standalone example not feasible
8be6d038-8daa-4588-942e-df25717a3ab5,注文,ちゅうぶん,n,chú thích,annotation,obscure/archaic secondary reading or sense mis-tagged as N5 — JMdict artifact; faithful standalone example not feasible
a4774ace-fe76-46f6-bfb4-c4824a640d0d,レベル,レベル,n,phiến loạn,rebel,non-Japanese phonetic reading (Chinese/foreign numeral or loan reading) mis-tagged N5 — JMdict artifact
d72bc3b8-0e4e-48ee-97a9-1ec4a48fc5a2,能力,のうりき,n,tu sĩ cấp thấp làm công việc chân tay tại chùa,low-ranking priest who does manual labour at a temple,obscure/archaic secondary reading or sense mis-tagged as N5 — JMdict artifact; faithful standalone example not feasible
dea5732f-9438-49cd-b4bd-ead940b58b59,ミス,ミス,n,thần thoại,myth,non-Japanese phonetic reading (Chinese/foreign numeral or loan reading) mis-tagged N5 — JMdict artifact
ea3bf57c-ced3-4dff-82ee-ad828081c055,だんだん,だんだん,int,cảm ơn (phương ngữ vùng Izumo),thank you,obscure/archaic secondary reading or sense mis-tagged as N5 — JMdict artifact; faithful standalone example not feasible
f7108bcf-ad9c-4f65-bd3c-db1a9b443c81,土,ト,n,Thổ Nhĩ Kỳ,Turkey,non-Japanese phonetic reading (Chinese/foreign numeral or loan reading) mis-tagged N5 — JMdict artifact
fb002e61-d0b7-4377-9b71-02e6be40cc78,温める,ぬるめる,v1|vt,pha nguội (nước),to cool (water) down,obscure/archaic secondary reading or sense mis-tagged as N5 — JMdict artifact; faithful standalone example not feasible
